"X1","X2","X3","RESPONSE"
"G_3",15.2,1.4,9.5
"G_3",12.4,2.9,11.7
"G_3",15.2,2.5,9.6
"G_3",19,17.5,6.6
"G_4",12.3,2.6,13.8
"G_3",12.1,3.3,11.5
"G_4",11.3,5.1,15.3
"G_3",11.2,6.1,12.7
"G_2",14.3,1.2,7.6
"G_2",15.4,2.5,7.6
"G_4",15.3,2.4,13
"G_4",14.1,0.9,13.8
"G_4",16.9,6.6,11.8
"G_4",18.5,14.4,11.6
"G_4",17.3,7.5,11.3
"G_1",12.2,4.1,8.6
"G_1",16,3.5,6
"G_3",19.3,19.4,7
"G_2",17.2,8.3,5.4
"G_3",17,6.3,9.4
"G_2",14.2,0.4,8.6
"G_2",10.2,10.8,10.5
"G_4",13,1.4,14.4
"G_3",15.2,2.6,9.6
"G_4",11.1,6.7,14.8
"G_1",17.9,10.9,5.2
"G_4",12.6,2.2,14.7
"G_2",17.7,9.8,5.9
"G_3",18.4,14.8,7.7
"G_2",15.8,3,7
"G_2",12.2,2.9,8.8
"G_3",15,1.8,9.9
"G_4",16.1,3.9,12.5
"G_1",19.9,23.8,4.4
"G_2",19.6,21.5,5
"G_4",15.9,4,13.3
"G_1",14.3,0.4,7.3
"G_4",14.9,1.1,13.5
"G_2",12.8,1.9,8.9
"G_4",17.7,9.9,11.4
"G_3",16.5,4.8,8.3
"G_2",17.1,7.6,6.2
"G_2",16,4.6,7
"G_2",10.5,9.3,10.1
"G_4",12.3,2.6,14.2
"G_1",10,12,9.9
"G_2",15.9,3.5,7
"G_4",16.4,4.8,11.9
"G_3",12.3,3.3,11.5
"G_1",12.6,2.7,8.6
"G_1",18,11.6,5.4
"G_1",16.2,4.6,5.6
"G_3",10.8,8.3,12.3
"G_1",10.5,9.8,9.5
"G_4",10.7,7.9,15.8
"G_1",10.7,7.2,9.5
"G_2",16.2,4.3,6.2
"G_4",17.9,11.4,10.5
"G_4",11.9,4.1,15.7
"G_4",17.3,8.5,11.8
"G_1",13.6,1.8,7.6
"G_4",13.9,0.4,13.7
"G_1",11.5,5.1,9
"G_4",11.2,6.2,15.1
"G_2",15.4,2.2,7.5
"G_4",19.7,22.6,10.8
"G_3",13.3,1.3,10.6
"G_2",16.8,6.3,6.5
"G_3",13.1,2.3,11.7
"G_2",17.8,10.6,6.6
"G_4",16.4,4.8,11.3
"G_4",13.7,1.8,13.9
"G_2",13.4,1.1,8.5
"G_2",10.3,10.1,11.3
"G_4",19.9,24.2,11.1
"G_4",13.5,1.9,14.9
"G_1",16.9,6.5,6.4
"G_1",20,25.4,4.2
"G_1",14.4,1.2,7.7
"G_3",14.2,0.7,10.2
"G_1",18.9,16.6,4.8
"G_3",15.6,3,9.2
"G_3",17.3,8.1,9
"G_2",19.3,19.7,4.9
"G_3",17.5,9.9,7.4
"G_3",10.8,8.4,11.5
"G_3",14.5,1.4,10
"G_2",18,11.2,5.7
"G_2",14.2,1.1,8.9
"G_3",13.7,0.2,10.7
"G_1",13.1,1.5,8.9
"G_1",11.7,4.5,8.4
"G_4",15.4,2.4,11.7
"G_2",15.2,1.4,7.3
"G_2",16.9,5.9,6.5
"G_2",13.3,1.8,9.3
"G_1",18.4,14.5,4.6
"G_4",14.3,0.8,13.2
"G_1",16.5,5.3,6.2
"G_2",10.9,8.1,10.3
"G_3",11.5,4.8,11.2
"G_2",14.8,1.2,7.9
